FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,geometry,index_right,NOMBDEP,NOMBPROV,NOMBDIST,UBIGEO
19600113,154034,-16.145,-72.144,60,7.5,20223006,POINT (-72.144 -16.145),1803.0,AREQUIPA,CAYLLOMA,MAJES,040520
19600115,93024,-15.0,-75.0,70,7.0,20223006,POINT (-75 -15),908.0,ICA,NASCA,VISTA ALEGRE,110305
19600117,25758,-14.5,-74.5,150,6.4,20223006,POINT (-74.5 -14.5),827.0,AYACUCHO,LUCANAS,OTOCA,050613
19600123,33732,-12.5,-68.5,300,5.8,20223006,POINT (-68.5 -12.5),,,,,
19600130,50724,-5.5,-77.5,100,5.7,20223006,POINT (-77.5 -5.5),1370.0,LORETO,DATEM DEL MARAÑON,BARRANCA,160701
19600208,190616,-8.5,-74.5,136,5.3,20223006,POINT (-74.5 -8.5),1631.0,UCAYALI,CORONEL PORTILLO,MANANTAY,250107
19600213,204006,-17.5,-70.0,150,5.9,20223006,POINT (-70 -17.5),1579.0,TACNA,TARATA,TARUCACHI,230407
19600309,235425,-16.389,-73.817,80,6.2,20223006,POINT (-73.817 -16.389),,,,,
19600401,131823,-14.5,-73.5,100,6.1,20223006,POINT (-73.5 -14.5),1245.0,APURIMAC,ANDAHUAYLAS,PAMPACHIRI,030210
19600504,12852,-18.0,-71.5,100,5.0,20223006,POINT (-71.5 -18),,,,,
19600512,120924,-9.0,-72.5,60,5.8,20223006,POINT (-72.5 -9),,,,,
19600704,80207,-8.0,-71.0,600,6.2,20223006,POINT (-71 -8),,,,,
19600709,20539,-15.0,-70.5,200,5.9,20223006,POINT (-70.5 -15),233.0,PUNO,LAMPA,PUCARA,210708
19600719,41914,-7.0,-80.0,33,5.3,20223006,POINT (-80 -7),,,,,
19600730,71515,-2.5,-77.5,200,5.8,20223006,POINT (-77.5 -2.5),,,,,
19600913,215534,-15.0,-75.51,67,5.7,20223006,POINT (-75.51 -15),,,,,
19600914,803,-15.2,-76.2,91,5.4,20223006,POINT (-76.2 -15.2),,,,,
19600924,135833,-3.0,-75.9,146,6.4,20223006,POINT (-75.9 -3),1734.0,LORETO,LORETO,TROMPETEROS,160304
19600926,165813,-16.0,-72.9,115,5.3,20223006,POINT (-72.9 -16),1805.0,AREQUIPA,CONDESUYOS,ANDARAY,040602
19601103,220219,-14.4,-71.6,55,5.3,20223006,POINT (-71.6 -14.4),586.0,CUSCO,CHUMBIVILCAS,LIVITACA,080705
19601111,65327,-16.1,-71.9,114,5.6,20223006,POINT (-71.9 -16.1),46.0,AREQUIPA,CAYLLOMA,HUANCA,040508
19601120,220156,-5.6,-80.9,60,6.8,20223006,POINT (-80.9 -5.6),,,,,
19601129,191706,-16.0,-74.0,33,5.8,20223006,POINT (-74 -16),1664.0,AREQUIPA,CARAVELI,CHAPARRA,040308
19601217,73831,-15.2,-73.5,28,5.2,20223006,POINT (-73.5 -15.2),609.0,AYACUCHO,PAUCAR DEL SARA SARA,PARARCA,050807
19601222,34721,-16.2,-72.9,147,5.2,20223006,POINT (-72.9 -16.2),79.0,AREQUIPA,CAMANA,OCOÑA,040206
19601230,110336,-17.0,-70.0,47,5.6,20223006,POINT (-70 -17),185.0,PUNO,EL COLLAO,SANTA ROSA,210504
19610108,52146,-15.9,-73.1,135,5.1,20223006,POINT (-73.1 -15.9),1809.0,AREQUIPA,CONDESUYOS,RIO GRANDE,040606
19610128,32446,-13.6,-76.3,86,6.0,20223006,POINT (-76.3 -13.6),,,,,
19610208,80413,-10.4,-71.0,600,6.0,20223006,POINT (-71 -10.4),1621.0,UCAYALI,PURUS,PURUS,250401
19610317,100628,-11.1,-78.8,60,5.0,20223006,POINT (-78.8 -11.1),,,,,
19610409,171747,-18.3,-70.2,29,5.3,20223006,POINT (-70.2 -18.3),1543.0,TACNA,TACNA,TACNA,230101
19610427,175214,-13.2,-75.1,83,6.2,20223006,POINT (-75.1 -13.2),1010.0,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,090411
19610603,42156,-18.1,-70.3,60,5.3,20223006,POINT (-70.3 -18.1),1543.0,TACNA,TACNA,TACNA,230101
19610617,105630,-12.0,-75.3,29,5.5,20223006,POINT (-75.3 -12),1093.0,JUNIN,HUANCAYO,SICAYA,120134
